,0,1,2
0,490006305H,-0.195835,51.495148
1,490010187K,-0.194453,51.49331
2,490000064A,-0.193378,51.492063
3,490015228L,-0.190744,51.490195
4,490011479S,-0.188107,51.487322
5,490007055HK,-0.184663,51.484454
6,490015066S,-0.182168,51.482356
7,490009370W,-0.184854,51.480716
8,490019613S,-0.18463,51.478743
9,490005071S,-0.183457,51.476009
10,490003090S,-0.183175,51.474054
11,490005070W,-0.184094,51.472656
12,490007237W,-0.185207,51.470758
13,490011918W,-0.186447,51.46888
14,490014185W,-0.18786,51.467373
15,490004326S,-0.186177,51.463345
16,490010963E,-0.183388,51.463617
17,490005045E,-0.181158,51.46467
18,490011065E,-0.179173,51.466078
19,490008280S,-0.177546,51.465342
20,490014323S,-0.177116,51.464571
21,490012735S,-0.174079,51.462042
22,490001069D,-0.168997,51.463724
23,490005331E,-0.168997,51.463724
